last_name,first_name,player_id,year,b_ab,batting_avg,slg_percent,on_base_percent,xba,xslg,xwoba,xobp,xiso,xwobacon,xbacon,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent
Anderson,Tim,641313,2022,332,0.301,0.395,0.339,0.302,0.438,0.34,0.34,0.136,0.385,0.362,88.2,3.3,5.8,41.2
Bellinger,Cody,641355,2022,504,0.21,0.389,0.265,0.213,0.354,0.278,0.271,0.141,0.348,0.303,89.4,20.3,8.3,38.1
Collins,Zack,641470,2022,97,0.155,0.32,0.231,0.181,0.317,0.257,0.256,0.137,0.366,0.31,91,20.1,8.8,40.4
Crawford,J.P.,641487,2022,518,0.243,0.336,0.338,0.255,0.337,0.315,0.353,0.081,0.306,0.302,85.1,8.9,2,29.7
Delay,Jason,641511,2022,155,0.213,0.271,0.263,0.2,0.251,0.23,0.253,0.051,0.29,0.295,84.9,15.7,1.9,28.3
Dozier,Hunter,641531,2022,462,0.236,0.387,0.292,0.241,0.387,0.301,0.297,0.146,0.371,0.33,88.5,13.1,7.7,38.5
Engel,Adam,641553,2022,245,0.224,0.31,0.269,0.219,0.287,0.246,0.264,0.068,0.32,0.318,87.9,15,1.8,33.1
Fraley,Jake,641584,2022,216,0.259,0.468,0.344,0.248,0.417,0.333,0.338,0.168,0.382,0.332,85.1,13.8,7.3,27.6
Garver,Mitch,641598,2022,188,0.207,0.404,0.298,0.222,0.405,0.319,0.313,0.182,0.374,0.308,88.9,18.4,8.8,38.7
Guillorme,Luis,641645,2022,297,0.273,0.34,0.349,0.255,0.335,0.302,0.335,0.08,0.303,0.302,86.2,4.3,2.4,24.9
Hampson,Garrett,641658,2022,199,0.211,0.307,0.283,0.202,0.29,0.261,0.282,0.087,0.312,0.297,86.5,10.2,4.3,27.7
Heim,Jonah,641680,2022,406,0.227,0.399,0.298,0.224,0.361,0.291,0.296,0.137,0.319,0.284,89.3,17,6.9,39.9
Leblanc,Charles,641779,2022,156,0.263,0.404,0.32,0.218,0.368,0.285,0.278,0.15,0.381,0.33,87.3,16.9,8.7,32
ManciniIII,Trey,641820,2022,519,0.239,0.391,0.319,0.245,0.41,0.327,0.328,0.165,0.383,0.332,89.5,12.7,9.8,40.4
McMahon,Ryan,641857,2022,529,0.246,0.414,0.327,0.248,0.423,0.33,0.329,0.176,0.407,0.351,91.7,10.8,10.4,46.5
Neuse,Sheldon,641914,2022,271,0.214,0.288,0.273,0.212,0.291,0.254,0.272,0.079,0.312,0.303,89.1,1.5,3.1,38.2
O'Neill,Tyler,641933,2022,334,0.228,0.392,0.308,0.24,0.423,0.331,0.324,0.183,0.41,0.345,89.8,13.6,11.3,43.3
Smith,Dominic,642086,2022,134,0.194,0.284,0.276,0.219,0.36,0.293,0.299,0.141,0.337,0.297,89.6,10.9,7.1,46.5
Tellez,Rowdy,642133,2022,529,0.219,0.461,0.306,0.252,0.479,0.349,0.337,0.226,0.404,0.328,91.1,15.3,12.9,46
VanMeter,Josh,642165,2022,171,0.187,0.292,0.266,0.224,0.341,0.288,0.301,0.117,0.33,0.302,88.1,14.3,4.7,33.6
Wade,Tyler,642180,2022,147,0.218,0.272,0.264,0.212,0.278,0.248,0.267,0.065,0.276,0.274,83.9,11.5,1.7,16
White,Eli,642201,2022,105,0.2,0.305,0.274,0.183,0.293,0.255,0.261,0.11,0.343,0.301,86.4,21.5,4.6,29.2
Mejia,Francisco,642336,2022,289,0.242,0.381,0.264,0.242,0.329,0.262,0.265,0.087,0.32,0.312,86.8,15.7,2.7,28
Siri,Jose,642350,2022,301,0.213,0.339,0.268,0.207,0.323,0.261,0.262,0.116,0.355,0.321,87.2,15.4,6.2,33
Rosario,Amed,642708,2022,637,0.283,0.403,0.312,0.276,0.396,0.31,0.308,0.12,0.354,0.335,88.4,5,4.5,38.3
Adames,Willy,642715,2022,563,0.238,0.458,0.298,0.238,0.451,0.323,0.299,0.213,0.414,0.335,88.9,18.9,13,43.6
Alcantara,Sergio,642727,2022,205,0.22,0.356,0.259,0.209,0.291,0.244,0.254,0.082,0.297,0.285,86.6,13.5,1.9,32.5
Estrada,Thairo,642731,2022,488,0.26,0.4,0.322,0.246,0.352,0.299,0.312,0.107,0.319,0.301,86.2,8.1,4.4,31.1
Wynns,Austin,642851,2022,162,0.259,0.358,0.311,0.223,0.318,0.267,0.279,0.096,0.304,0.289,84.1,10.4,4,27
Benintendi,Andrew,643217,2022,461,0.304,0.399,0.372,0.273,0.407,0.334,0.347,0.134,0.351,0.326,89.2,12.6,5.1,38.7
Cooper,Garrett,643265,2022,414,0.261,0.415,0.337,0.26,0.436,0.341,0.338,0.177,0.418,0.362,89.6,8.8,10.7,43.7
Dubon,Mauricio,643289,2022,243,0.214,0.313,0.249,0.24,0.331,0.272,0.28,0.091,0.282,0.272,84.7,16.7,2.3,29.9
Jansen,Danny,643376,2022,215,0.26,0.516,0.339,0.264,0.514,0.368,0.344,0.25,0.411,0.326,90.4,22.2,13.1,46.6
Kemp,Tony,643393,2022,497,0.235,0.334,0.305,0.219,0.291,0.267,0.294,0.072,0.257,0.254,84.4,15,1.6,14.9
Kiner-Falefa,Isiah,643396,2022,483,0.261,0.327,0.313,0.262,0.333,0.29,0.317,0.071,0.304,0.306,86.2,4.3,1.2,30.1
McNeil,Jeff,643446,2022,533,0.326,0.454,0.382,0.28,0.389,0.323,0.341,0.109,0.325,0.314,86.9,12.8,2.7,30.2
Schwindel,Frank,643524,2022,271,0.229,0.358,0.277,0.23,0.351,0.278,0.281,0.121,0.32,0.294,88.1,10.2,4.7,35.5
Chang,Yu,644374,2022,168,0.208,0.315,0.289,0.213,0.357,0.29,0.294,0.144,0.371,0.323,88.8,14.3,9,36.9
Albies,Ozzie,645277,2022,247,0.247,0.409,0.294,0.239,0.387,0.297,0.29,0.148,0.331,0.294,87.1,16.9,5.4,26.5
Robles,Victor,645302,2022,366,0.224,0.311,0.265,0.203,0.28,0.244,0.256,0.077,0.295,0.284,84.6,15.8,3.2,23.8
Herrera,Jose,645444,2022,111,0.189,0.207,0.242,0.152,0.18,0.186,0.215,0.029,0.209,0.218,84.7,3,0,11.1
