last_name,first_name,player_id,year,b_ab,batting_avg,slg_percent,on_base_percent,xba,xslg,xwoba,xobp,xiso,xwobacon,xbacon,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent
Buxton,Byron,621439,2020,130,0.254,0.577,0.267,0.249,0.548,0.335,0.262,0.299,0.45,0.338,91.2,23.6,13.5,47.9
Brinson,Lewis,621446,2020,106,0.226,0.368,0.268,0.247,0.39,0.296,0.287,0.143,0.381,0.344,88.1,7.9,7.9,36.8
Stewart,DJ,621466,2020,88,0.193,0.455,0.348,0.192,0.392,0.336,0.354,0.199,0.431,0.339,91.4,17.8,19.2,46.2
Ward,Taylor,621493,2020,94,0.277,0.383,0.333,0.25,0.396,0.309,0.308,0.146,0.393,0.355,91.1,10.4,4.5,47
Wendle,Joey,621563,2020,168,0.286,0.435,0.342,0.256,0.375,0.304,0.316,0.119,0.342,0.322,86.7,5.1,3.7,32.1
Olson,Matt,621566,2020,210,0.195,0.424,0.31,0.224,0.453,0.34,0.336,0.23,0.45,0.356,92.3,19.6,12.8,45.9
Margot,Manuel,622534,2020,145,0.269,0.352,0.327,0.26,0.381,0.309,0.319,0.121,0.332,0.312,89.4,7.5,4.1,33.9
Camargo,Johan,622666,2020,120,0.2,0.367,0.244,0.184,0.316,0.24,0.229,0.133,0.3,0.26,87.3,9.8,4.7,32.9
Reyes,Victor,622682,2020,202,0.277,0.391,0.315,0.287,0.43,0.329,0.324,0.143,0.398,0.37,90,10.7,3.8,41.4
Bote,David,623520,2020,125,0.2,0.408,0.303,0.233,0.418,0.33,0.332,0.185,0.401,0.339,92.4,9.3,10.5,52.3
Santander,Anthony,623993,2020,153,0.261,0.575,0.315,0.287,0.516,0.358,0.339,0.228,0.404,0.344,88.6,24.7,10.2,36.7
Alonso,Pete,624413,2020,208,0.231,0.49,0.326,0.226,0.466,0.335,0.323,0.24,0.409,0.319,90.2,15.5,12.8,41.2
Biggio,Cavan,624415,2020,220,0.25,0.432,0.374,0.214,0.343,0.315,0.345,0.129,0.328,0.296,87.4,16.7,5,30.8
Conforto,Michael,624424,2020,202,0.322,0.515,0.412,0.281,0.478,0.374,0.377,0.197,0.451,0.392,88.4,11,11,36.6
Frazier,Adam,624428,2020,209,0.23,0.364,0.296,0.251,0.378,0.309,0.317,0.127,0.325,0.302,85.5,12.3,4,25.1
Soler,Jorge,624585,2020,149,0.228,0.443,0.322,0.243,0.487,0.354,0.339,0.244,0.505,0.403,92.5,15.5,18.9,51.1
Cronenworth,Jake,630105,2020,172,0.285,0.477,0.354,0.317,0.535,0.393,0.383,0.218,0.435,0.382,89.8,10.6,10.5,42.7
Frazier,Clint,640449,2020,131,0.267,0.511,0.394,0.246,0.447,0.363,0.377,0.2,0.437,0.368,89.4,11.6,12.5,43.2
Meadows,Austin,640457,2020,132,0.205,0.371,0.296,0.186,0.344,0.278,0.282,0.158,0.356,0.296,90.3,24.2,7.1,44
Anderson,Tim,641313,2020,208,0.322,0.529,0.357,0.293,0.508,0.358,0.33,0.215,0.446,0.384,87.2,6.7,10.1,35.8
Bellinger,Cody,641355,2020,213,0.239,0.455,0.333,0.284,0.494,0.374,0.374,0.21,0.413,0.355,89.3,16.6,9.4,41.5
Calhoun,Willie,641432,2020,100,0.19,0.26,0.231,0.194,0.271,0.234,0.244,0.077,0.248,0.239,89.3,14.4,1.2,38.8
Crawford,J.P.,641487,2020,204,0.255,0.338,0.336,0.257,0.36,0.318,0.343,0.103,0.333,0.32,85.8,11.5,1.8,31.1
Dozier,Hunter,641531,2020,158,0.228,0.392,0.344,0.235,0.385,0.331,0.351,0.15,0.381,0.338,86.4,17,8.2,30.9
Hampson,Garrett,641658,2020,167,0.234,0.383,0.283,0.23,0.391,0.297,0.287,0.161,0.414,0.361,86.3,14.4,8.1,23.4
Lewis,Kyle,641786,2020,206,0.262,0.437,0.364,0.239,0.433,0.344,0.347,0.194,0.436,0.365,88.3,11.1,11.7,35
McMahon,Ryan,641857,2020,172,0.215,0.419,0.295,0.203,0.389,0.296,0.286,0.186,0.405,0.33,90.1,9.2,11.2,43
O'Neill,Tyler,641933,2020,139,0.173,0.36,0.261,0.195,0.379,0.29,0.282,0.184,0.348,0.281,88,15.1,8.2,39.2
Sisco,Chance,642082,2020,98,0.214,0.378,0.364,0.194,0.376,0.327,0.348,0.181,0.409,0.334,88.8,20,12.3,36.8
Smith,Dominic,642086,2020,177,0.316,0.616,0.377,0.303,0.566,0.392,0.365,0.264,0.48,0.398,89.8,10.8,13.3,46.7
Tellez,Rowdy,642133,2020,113,0.283,0.54,0.346,0.283,0.508,0.368,0.351,0.225,0.408,0.343,90.7,10.6,8.4,45.3
Valaika,Pat,642162,2020,141,0.277,0.475,0.313,0.26,0.456,0.323,0.3,0.196,0.398,0.343,88.7,18.2,8.3,34.3
Wade,Tyler,642180,2020,88,0.17,0.307,0.286,0.242,0.326,0.31,0.349,0.085,0.324,0.318,86.6,13.4,1.5,27.9
Rosario,Amed,642708,2020,143,0.252,0.371,0.272,0.233,0.34,0.261,0.254,0.107,0.328,0.307,86.5,4.2,3.7,33
Adames,Willy,642715,2020,185,0.259,0.481,0.332,0.229,0.394,0.307,0.305,0.165,0.441,0.383,88.8,12.5,9.9,40.5
Cooper,Garrett,643265,2020,120,0.283,0.5,0.353,0.303,0.518,0.383,0.371,0.215,0.47,0.408,90.1,9.5,10.1,41.6
Dubon,Mauricio,643289,2020,157,0.274,0.389,0.333,0.256,0.402,0.319,0.324,0.146,0.362,0.33,86.2,16.7,4,30.6
Jansen,Danny,643376,2020,120,0.183,0.358,0.306,0.251,0.445,0.358,0.37,0.193,0.394,0.337,85.1,16.3,8.6,35.5
Kemp,Tony,643393,2020,93,0.247,0.301,0.36,0.256,0.349,0.329,0.372,0.094,0.303,0.296,85.8,18.8,1.2,15.9
Kiner-Falefa,Isiah,643396,2020,211,0.28,0.37,0.329,0.26,0.34,0.294,0.312,0.08,0.31,0.306,87.2,0.8,2.2,31.1
LongJr.,Shed,643418,2020,117,0.171,0.291,0.242,0.175,0.304,0.248,0.246,0.129,0.301,0.256,87.1,2.6,6.3,32.5
McNeil,Jeff,643446,2020,183,0.311,0.454,0.383,0.277,0.407,0.337,0.355,0.13,0.339,0.316,86.6,11.5,2.5,26.5
Tauchman,Mike,643565,2020,95,0.242,0.305,0.342,0.253,0.324,0.3,0.353,0.071,0.343,0.345,84.9,10.6,1.4,24.3
Albies,Ozzie,645277,2020,118,0.271,0.466,0.306,0.24,0.417,0.299,0.277,0.177,0.374,0.322,86.7,17.8,9.1,28.4
Robles,Victor,645302,2020,168,0.22,0.315,0.291,0.205,0.28,0.262,0.284,0.075,0.312,0.302,82.2,19,1.7,22.9
Devers,Rafael,646240,2020,232,0.263,0.483,0.31,0.256,0.46,0.328,0.304,0.204,0.425,0.36,93,10.6,12.1,43.6
Naylor,Josh,647304,2020,97,0.247,0.33,0.288,0.275,0.383,0.309,0.317,0.108,0.324,0.314,86.8,7.8,3.5,34.1
Urias,Luis,649966,2020,109,0.239,0.294,0.308,0.225,0.292,0.27,0.297,0.067,0.322,0.32,87.7,2.3,1.3,27.3
Arraez,Luis,650333,2020,112,0.321,0.402,0.364,0.31,0.453,0.357,0.358,0.143,0.368,0.347,87.5,12.1,3.9,30.4
Jimenez,Eloy,650391,2020,213,0.296,0.559,0.332,0.278,0.54,0.364,0.317,0.262,0.469,0.378,92.4,5.7,16.5,55.7
Torres,Gleyber,650402,2020,136,0.243,0.368,0.356,0.245,0.384,0.335,0.359,0.139,0.34,0.309,88.6,14.9,3.7,38
Castro,Willi,650489,2020,129,0.349,0.55,0.379,0.307,0.512,0.368,0.344,0.205,0.49,0.428,85.3,11.3,9.6,31.9
Diaz,Yandy,650490,2020,114,0.307,0.386,0.428,0.247,0.325,0.327,0.38,0.078,0.296,0.291,88.3,-7.9,2.1,30.9
Rengifo,Luis,650859,2020,90,0.156,0.2,0.264,0.184,0.252,0.259,0.295,0.068,0.268,0.26,87.6,3.8,1.5,33.3
Chapman,Matt,656305,2020,142,0.232,0.535,0.276,0.245,0.542,0.35,0.29,0.298,0.53,0.397,93.6,24.1,18,51.7
Chavis,Michael,656308,2020,146,0.212,0.377,0.259,0.229,0.394,0.294,0.279,0.166,0.401,0.348,88.3,10,7.1,37.8
Hilliard,Sam,656541,2020,105,0.21,0.438,0.272,0.193,0.345,0.266,0.257,0.152,0.386,0.325,88.3,10.8,9.5,44.4
Hoskins,Rhys,656555,2020,151,0.245,0.503,0.384,0.237,0.507,0.381,0.378,0.27,0.431,0.332,89.8,24.8,14.8,42.6
MullinsII,Cedric,656775,2020,140,0.271,0.407,0.307,0.214,0.297,0.251,0.261,0.083,0.301,0.29,88.6,15.9,2.8,31.8
O'Hearn,Ryan,656811,2020,113,0.195,0.301,0.303,0.23,0.384,0.317,0.335,0.155,0.39,0.341,90.7,11.9,6.5,44.2
Schwarber,Kyle,656941,2020,191,0.188,0.393,0.308,0.224,0.441,0.34,0.34,0.218,0.429,0.345,92.8,8.8,11.2,47.2
Tucker,Cole,657061,2020,109,0.22,0.275,0.25,0.192,0.253,0.215,0.226,0.061,0.27,0.266,83.1,13.3,2.5,25
Verdugo,Alex,657077,2020,201,0.308,0.478,0.367,0.238,0.369,0.299,0.305,0.132,0.338,0.308,87,5.9,6.4,34.4
White,Evan,657108,2020,182,0.176,0.346,0.252,0.19,0.387,0.292,0.269,0.197,0.461,0.357,91.7,13.7,14.1,52.5
DeJong,Paul,657557,2020,152,0.25,0.349,0.322,0.238,0.406,0.315,0.314,0.168,0.398,0.346,89.2,21.7,7.5,40.6
Laureano,Ramon,657656,2020,183,0.213,0.366,0.338,0.23,0.403,0.338,0.353,0.173,0.387,0.331,87.7,12.3,9.4,34.4
Fuentes,Joshua,658069,2020,98,0.306,0.439,0.32,0.254,0.341,0.27,0.273,0.087,0.362,0.353,84,10.6,1.4,23.9
Olivares,Edward,658668,2020,96,0.24,0.375,0.267,0.26,0.366,0.286,0.287,0.106,0.363,0.347,82.7,7.6,5.6,27.8
Moncada,Yoan,660162,2020,200,0.225,0.385,0.32,0.207,0.336,0.29,0.306,0.129,0.359,0.321,87.8,13.9,6.2,33.1
Ohtani,Shohei,660271,2020,153,0.19,0.366,0.291,0.234,0.423,0.331,0.33,0.189,0.413,0.347,89.1,9.2,10.7,42.7
Tsutsugo,Yoshi,660294,2020,157,0.197,0.395,0.314,0.211,0.421,0.325,0.325,0.21,0.386,0.307,90.2,17.2,9.3,47.2
AcunaJr.,Ronald,660670,2020,160,0.25,0.581,0.406,0.254,0.591,0.42,0.409,0.337,0.559,0.406,92.4,18.6,16,57
Varsho,Daulton,662139,2020,101,0.188,0.366,0.287,0.196,0.347,0.288,0.294,0.15,0.343,0.292,86.2,18.4,4.4,38.2
Hoerner,Nico,663538,2020,108,0.222,0.259,0.31,0.243,0.315,0.297,0.332,0.072,0.309,0.307,87.5,0.8,1.2,37.2
Riley,Austin,663586,2020,188,0.239,0.415,0.301,0.265,0.474,0.342,0.325,0.208,0.421,0.358,91,13.6,10,42.9
Madrigal,Nick,663611,2020,103,0.34,0.369,0.376,0.302,0.355,0.314,0.341,0.052,0.312,0.325,83.7,4.3,0,19.8
Mountcastle,Ryan,663624,2020,126,0.333,0.492,0.386,0.266,0.43,0.328,0.326,0.164,0.382,0.343,87.4,10.8,7.1,41.8
Tucker,Kyle,663656,2020,209,0.268,0.512,0.325,0.261,0.449,0.327,0.318,0.188,0.383,0.333,91.1,14.9,9.1,44.5
Bart,Joey,663698,2020,103,0.233,0.32,0.288,0.2,0.292,0.248,0.258,0.092,0.352,0.332,89,12.6,4.8,48.4
Grisham,Trent,663757,2020,215,0.251,0.456,0.349,0.266,0.482,0.368,0.366,0.216,0.449,0.378,88.3,13.5,11.1,41.8
Happ,Ian,664023,2020,198,0.258,0.505,0.359,0.261,0.469,0.362,0.365,0.208,0.455,0.385,91.1,9,10.3,48.5
France,Ty,664034,2020,141,0.305,0.468,0.368,0.285,0.484,0.36,0.35,0.199,0.442,0.388,85.7,14.8,8.7,29.8
Lowe,Brandon,664040,2020,193,0.269,0.554,0.362,0.261,0.55,0.384,0.356,0.289,0.479,0.371,89.8,18.1,17.5,43.1
Bader,Harrison,664056,2020,106,0.226,0.443,0.336,0.199,0.422,0.327,0.316,0.223,0.42,0.321,86,15.7,11.9,35.8
Fletcher,David,664058,2020,207,0.319,0.425,0.374,0.292,0.351,0.316,0.352,0.059,0.317,0.329,84.7,4.1,0.5,17.8
Kingery,Scott,664068,2020,113,0.159,0.283,0.226,0.221,0.404,0.302,0.287,0.183,0.39,0.326,85.3,16.9,10.1,31.6
Moore,Dylan,664238,2020,137,0.255,0.496,0.358,0.251,0.464,0.357,0.355,0.214,0.439,0.367,90.4,17.3,13.8,44.7
Bohm,Alec,664761,2020,160,0.338,0.481,0.4,0.285,0.467,0.357,0.354,0.181,0.41,0.363,90.2,4.8,10.3,46.8
Mendick,Danny,664901,2020,107,0.243,0.383,0.281,0.222,0.311,0.257,0.263,0.09,0.303,0.289,86.2,7.4,2.4,31.3
Walsh,Jared,665120,2020,99,0.293,0.646,0.324,0.274,0.549,0.362,0.311,0.275,0.401,0.318,88.1,13.1,12.6,39.1
TatisJr.,Fernando,665487,2020,224,0.277,0.571,0.366,0.297,0.614,0.422,0.386,0.317,0.526,0.409,95.9,8.7,19.5,62.2
GuerreroJr.,Vladimir,665489,2020,221,0.262,0.462,0.329,0.261,0.439,0.333,0.329,0.177,0.36,0.316,92.5,4.6,8.7,50.8
Soto,Juan,665742,2020,154,0.351,0.695,0.49,0.332,0.696,0.475,0.475,0.363,0.527,0.406,92.1,4.3,18.3,51.6
Taveras,Leody,665750,2020,119,0.227,0.395,0.306,0.236,0.379,0.308,0.316,0.143,0.411,0.369,88.9,14.3,6.5,41.6
Gimenez,Andres,665926,2020,118,0.263,0.398,0.333,0.245,0.358,0.303,0.318,0.113,0.338,0.318,86.8,13.5,3.3,26.4
Adell,Jo,666176,2020,124,0.161,0.266,0.212,0.177,0.293,0.232,0.228,0.116,0.367,0.323,90.6,11.4,4.3,36.2
Bichette,Bo,666182,2020,123,0.301,0.512,0.328,0.292,0.532,0.359,0.32,0.24,0.445,0.374,89.2,12,12.5,40.6
Carlson,Dylan,666185,2020,110,0.2,0.364,0.252,0.246,0.441,0.314,0.294,0.196,0.418,0.356,87.4,9.3,9.2,42.1
Kieboom,Carter,666198,2020,99,0.202,0.212,0.344,0.18,0.22,0.274,0.33,0.04,0.267,0.273,85.1,11.9,0,20.9
GurrielJr.,Lourdes,666971,2020,208,0.308,0.534,0.348,0.281,0.486,0.347,0.325,0.205,0.42,0.363,90.8,10.5,11.7,49.4
Reynolds,Bryan,668804,2020,185,0.189,0.357,0.274,0.228,0.403,0.314,0.31,0.175,0.387,0.33,87.5,10.2,10.2,38.3
Murphy,Sean,669221,2020,116,0.233,0.457,0.364,0.217,0.44,0.348,0.351,0.223,0.404,0.319,92.2,14.7,12.7,49.4
Edman,Tommy,669242,2020,204,0.25,0.368,0.317,0.266,0.367,0.315,0.334,0.102,0.359,0.347,86.5,8.2,3.8,33.5
Solak,Nick,669256,2020,209,0.268,0.344,0.326,0.264,0.388,0.318,0.326,0.124,0.351,0.327,89.9,9.4,4.7,40.4
Smith,Will,669257,2020,114,0.289,0.579,0.401,0.293,0.539,0.407,0.409,0.247,0.437,0.366,90.8,24.2,12.9,47.3
Hiura,Keston,669374,2020,217,0.212,0.41,0.297,0.21,0.435,0.318,0.299,0.225,0.447,0.348,87.4,14.3,14.2,39.6
Hays,Austin,669720,2020,122,0.279,0.393,0.328,0.245,0.355,0.292,0.3,0.11,0.324,0.304,87,11,4,31.3
Lopez,Nicky,670032,2020,169,0.201,0.266,0.281,0.238,0.308,0.287,0.319,0.07,0.315,0.314,84.9,1.4,1.5,26.7
Paredes,Isaac,670623,2020,100,0.22,0.29,0.278,0.212,0.273,0.247,0.271,0.061,0.277,0.28,86.5,7.5,0,26.3
Garcia,Luis,671277,2020,134,0.276,0.366,0.302,0.267,0.377,0.296,0.293,0.11,0.358,0.341,83.5,-3.6,4.8,29.5
RobertJr.,Luis,673357,2020,202,0.233,0.436,0.3,0.221,0.462,0.326,0.296,0.241,0.449,0.348,87.9,16.7,13,40.5
Akiyama,Shogo,673451,2020,155,0.245,0.297,0.355,0.244,0.326,0.315,0.357,0.081,0.317,0.314,85.1,2.9,0.8,26.4
